ID,Title,Rating,tags
2799,Count-Complete-Subarrays-in-an-Array,1397,Array;Hash Table;Sliding Window
1071,Greatest-Common-Divisor-of-Strings,1397,Math;String
1176,Diet-Plan-Performance,1397,Array;Sliding Window
3354,Make-Array-Elements-Equal-to-Zero,1397,Array;Simulation;Prefix Sum
3561,Resulting-String-After-Adjacent-Removals,1397,String;Stack;Simulation
788,Rotated-Digits,1396,Math;Dynamic Programming
1404,Number-of-Steps-to-Reduce-a-Number-in-Binary-Representation-to-One,1396,String;Bit Manipulation;Simulation
1306,Jump-Game-III,1396,Array;Depth-First Search;Breadth-First Search
944,Delete-Columns-to-Make-Sorted,1396,Array;String
2566,Maximum-Difference-by-Remapping-a-Digit,1396,Math;Greedy
2966,Divide-Array-Into-Arrays-With-Max-Difference,1395,Array;Greedy;Sorting
1668,Maximum-Repeating-Substring,1395,String;Dynamic Programming;String Matching
2256,Minimum-Average-Difference,1394,Array;Prefix Sum
2816,Double-a-Number-Represented-as-a-Linked-List,1393,Linked List;Math;Stack
978,Longest-Turbulent-Subarray,1393,Array;Dynamic Programming;Sliding Window
2928,Distribute-Candies-Among-Children-I,1393,Math;Combinatorics;Enumeration
1529,Bulb-Switcher-IV,1392,
2870,Minimum-Number-of-Operations-to-Make-Array-Empty,1392,Array;Hash Table;Greedy;Counting
957,Prison-Cells-After-N-Days,1392,Array;Hash Table;Math;Bit Manipulation
1222,Queens-That-Can-Attack-the-King,1391,Array;Matrix;Simulation
2155,All-Divisions-With-the-Highest-Score-of-a-Binary-Array,1390,Array
1065,Index-Pairs-of-a-String,1389,Array;String;Trie;Sorting
1214,Two-Sum-BSTs,1389,Two Pointers;Binary Search;Stack;Tree;Depth-First Search;Binary Search Tree;Binary Tree
2917,Find-the-K-or-of-an-Array,1388,
1302,Deepest-Leaves-Sum,1387,Tree;Depth-First Search;Breadth-First Search;Binary Tree
3239,Minimum-Number-of-Flips-to-Make-Binary-Grid-Palindromic-I,1387,Array;Two Pointers;Matrix
2389,Longest-Subsequence-With-Limited-Sum,1387,Array;Binary Search;Greedy;Sorting;Prefix Sum
937,Reorder-Data-in-Log-Files,1387,Array;String;Sorting
1860,Incremental-Memory-Leak,1387,Math;Simulation
1721,Swapping-Nodes-in-a-Linked-List,1386,Linked List;Two Pointers
1276,Number-of-Burgers-with-No-Waste-of-Ingredients,1386,Math
2530,Maximal-Score-After-Applying-K-Operations,1386,Array;Greedy;Heap (Priority Queue)
3185,Count-Pairs-That-Form-a-Complete-Day-II,1385,Array;Hash Table;Counting
1271,Hexspeak,1384,Math;String
2091,Removing-Minimum-and-Maximum-From-Array,1384,Array;Greedy
3034,Number-of-Subarrays-That-Match-a-Pattern-I,1383,Array;Rolling Hash;String Matching;Hash Function
762,Prime-Number-of-Set-Bits-in-Binary-Representation,1383,Math;Bit Manipulation
3375,Minimum-Operations-to-Make-Array-Values-Equal-to-K,1382,Array;Hash Table
1318,Minimum-Flips-to-Make-a-OR-b-Equal-to-c,1382,Bit Manipulation
849,Maximize-Distance-to-Closest-Person,1382,Array
2682,Find-the-Losers-of-the-Circular-Game,1382,Array;Hash Table;Simulation
797,All-Paths-From-Source-to-Target,1382,Backtracking;Depth-First Search;Breadth-First Search;Graph
1185,Day-of-the-Week,1382,Math
1881,Maximum-Value-after-Insertion,1381,String;Greedy
2410,Maximum-Matching-of-Players-With-Trainers,1381,Array;Two Pointers;Greedy;Sorting
814,Binary-Tree-Pruning,1380,Tree;Depth-First Search;Binary Tree
1828,Queries-on-Number-of-Points-Inside-a-Circle,1380,Array;Math;Geometry
2120,Execution-of-All-Suffix-Instructions-Staying-in-a-Grid,1379,String;Simulation
2855,Minimum-Right-Shifts-to-Sort-the-Array,1379,Array
1013,Partition-Array-Into-Three-Parts-With-Equal-Sum,1378,Array;Greedy
3314,Construct-the-Minimum-Bitwise-Array-I,1378,Array;Bit Manipulation
811,Subdomain-Visit-Count,1377,Array;Hash Table;String;Counting
1010,Pairs-of-Songs-With-Total-Durations-Divisible-by-60,1377,Array;Hash Table;Counting
1018,Binary-Prefix-Divisible-By-5,1376,Array;Bit Manipulation
807,Max-Increase-to-Keep-City-Skyline,1376,Array;Greedy;Matrix
2784,Check-if-Array-is-Good,1376,Array;Hash Table;Sorting
2443,Sum-of-Number-and-Its-Reverse,1376,Math;Enumeration
2614,Prime-In-Diagonal,1375,Array;Math;Matrix;Number Theory
2336,Smallest-Number-in-Infinite-Set,1375,Hash Table;Design;Heap (Priority Queue);Ordered Set
1288,Remove-Covered-Intervals,1375,Array;Sorting
1038,Binary-Search-Tree-to-Greater-Sum-Tree,1374,Tree;Depth-First Search;Binary Search Tree;Binary Tree
1267,Count-Servers-that-Communicate,1374,Array;Depth-First Search;Breadth-First Search;Union Find;Matrix;Counting
1619,Mean-of-Array-After-Removing-Some-Elements,1374,Array;Sorting
2583,Kth-Largest-Sum-in-a-Binary-Tree,1374,Tree;Breadth-First Search;Sorting;Binary Tree
2610,Convert-an-Array-Into-a-2D-Array-With-Conditions,1373,Array;Hash Table
1291,Sequential-Digits,1373,Enumeration
3446,Sort-Matrix-by-Diagonals,1372,Array;Sorting;Matrix
748,Shortest-Completing-Word,1372,Array;Hash Table;String
2482,Difference-Between-Ones-and-Zeros-in-Row-and-Column,1372,Array;Matrix;Simulation
2899,Last-Visited-Integers,1372,Array;Simulation
1863,Sum-of-All-Subset-XOR-Totals,1372,Array;Math;Backtracking;Bit Manipulation;Combinatorics;Enumeration
2244,Minimum-Rounds-to-Complete-All-Tasks,1371,Array;Hash Table;Greedy;Counting
914,X-of-a-Kind-in-a-Deck-of-Cards,1370,Array;Hash Table;Math;Counting;Number Theory
1854,Maximum-Population-Year,1370,Array;Counting;Prefix Sum
1608,Special-Array-With-X-Elements-Greater-Than-or-Equal-X,1369,Array;Binary Search;Sorting
3179,Find-the-N-th-Value-After-K-Seconds,1369,
1370,Increasing-Decreasing-String,1369,Hash Table;String;Counting
3095,Shortest-Subarray-With-OR-at-Least-K-I,1368,Array;Bit Manipulation;Sliding Window
1576,Replace-All-?'s-to-Avoid-Consecutive-Repeating-Characters,1368,String
2515,Shortest-Distance-to-Target-String-in-a-Circular-Array,1367,Array;String
2433,Find-The-Original-Array-of-Prefix-Xor,1366,Array;Bit Manipulation
3100,Water-Bottles-II,1366,Math;Simulation
2231,Largest-Number-After-Digit-Swaps-by-Parity,1365,Sorting;Heap (Priority Queue)
2260,Minimum-Consecutive-Cards-to-Pick-Up,1364,Array;Hash Table;Sliding Window
1974,Minimum-Time-to-Type-Word-Using-Special-Typewriter,1364,String;Greedy
3309,Maximum-Possible-Number-by-Binary-Concatenation,1363,Array;Bit Manipulation;Enumeration
2486,Append-Characters-to-String-to-Make-Subsequence,1362,Two Pointers;String;Greedy
1592,Rearrange-Spaces-Between-Words,1362,String
1120,Maximum-Average-Subtree,1361,Tree;Depth-First Search;Binary Tree
1980,Find-Unique-Binary-String,1361,Array;Hash Table;String;Backtracking
2165,Smallest-Value-of-the-Rearranged-Number,1361,Math;Sorting
2335,Minimum-Amount-of-Time-to-Fill-Cups,1360,Array;Greedy;Sorting;Heap (Priority Queue)
1817,Finding-the-Users-Active-Minutes,1360,Array;Hash Table
1448,Count-Good-Nodes-in-Binary-Tree,1360,Tree;Depth-First Search;Breadth-First Search;Binary Tree
2379,Minimum-Recolors-to-Get-K-Consecutive-Black-Blocks,1360,String;Sliding Window
746,Min-Cost-Climbing-Stairs,1358,Array;Dynamic Programming
2090,K-Radius-Subarray-Averages,1358,Array;Sliding Window
1957,Delete-Characters-to-Make-Fancy-String,1357,String
3517,Smallest-Palindromic-Rearrangement-I,1357,String;Sorting;Counting Sort
2037,Minimum-Number-of-Moves-to-Seat-Everyone,1356,Array;Greedy;Sorting;Counting Sort
2579,Count-Total-Number-of-Colored-Cells,1356,Math
2043,Simple-Bank-System,1356,Array;Hash Table;Design;Simulation
1331,Rank-Transform-of-an-Array,1355,Array;Hash Table;Sorting
1894,Find-the-Student-that-Will-Replace-the-Chalk,1355,Array;Binary Search;Simulation;Prefix Sum
2405,Optimal-Partition-of-String,1355,Hash Table;String;Greedy
1689,Partitioning-Into-Minimum-Number-Of-Deci-Binary-Numbers,1355,
2210,Count-Hills-and-Valleys-in-an-Array,1354,Array
1244,Design-A-Leaderboard,1354,Hash Table;Design;Sorting
1758,Minimum-Changes-To-Make-Alternating-Binary-String,1353,String
848,Shifting-Letters,1352,Array;String;Prefix Sum
3211,Generate-Binary-Strings-Without-Adjacent-Zeros,1352,String;Backtracking;Bit Manipulation
1995,Count-Special-Quadruplets,1352,Array;Hash Table;Enumeration
2895,Minimum-Processing-Time,1351,Array;Greedy;Sorting
1513,Number-of-Substrings-With-Only-1s,1351,Math;String
2053,Kth-Distinct-String-in-an-Array,1350,Array;Hash Table;String;Counting
2578,Split-With-Minimum-Sum,1350,Math;Greedy;Sorting
3507,Minimum-Pair-Removal-to-Sort-Array-I,1348,Array;Hash Table;Linked List;Heap (Priority Queue);Simulation;Doubly-Linked List;Ordered Set
1100,Find-K-Length-Substrings-With-No-Repeated-Characters,1348,
2609,Find-the-Longest-Balanced-Substring-of-a-Binary-String,1348,String
3195,Find-the-Minimum-Area-to-Cover-All-Ones-I,1348,Array;Matrix
1029,Two-City-Scheduling,1348,Array;Greedy;Sorting
2390,Removing-Stars-From-a-String,1347,String;Stack;Simulation
2937,Make-Three-Strings-Equal,1347,String
2829,Determine-the-Minimum-Sum-of-a-k-avoiding-Array,1347,
2284,Sender-With-Largest-Word-Count,1346,Array;Hash Table;String;Counting
2027,Minimum-Moves-to-Convert-String,1346,String;Greedy
1679,Max-Number-of-K-Sum-Pairs,1345,
1544,Make-The-String-Great,1344,String;Stack
1395,Count-Number-of-Teams,1343,Array;Dynamic Programming;Binary Indexed Tree;Segment Tree
1796,Second-Largest-Digit-in-a-String,1341,Hash Table;String
3217,Delete-Nodes-From-Linked-List-Present-in-Array,1341,Array;Hash Table;Linked List
784,Letter-Case-Permutation,1341,String;Backtracking;Bit Manipulation
2023,Number-of-Pairs-of-Strings-With-Concatenation-Equal-to-Target,1341,Array;Hash Table;String;Counting
859,Buddy-Strings,1341,Hash Table;String
1399,Count-Largest-Group,1341,Hash Table;Math
976,Largest-Perimeter-Triangle,1340,Array;Math;Greedy;Sorting
3560,Find-Minimum-Log-Transportation-Cost,1339,Math
970,Powerful-Integers,1338,Hash Table;Math;Enumeration
3330,Find-the-Original-Typed-String-I,1338,String
933,Number-of-Recent-Calls,1337,Design;Queue;Data Stream
3127,Make-a-Square-with-the-Same-Color,1337,Array;Matrix;Enumeration
2161,Partition-Array-According-to-Given-Pivot,1337,Array;Two Pointers;Simulation
1260,Shift-2D-Grid,1337,Array;Matrix;Simulation
1275,Find-Winner-on-a-Tic-Tac-Toe-Game,1336,Array;Hash Table;Matrix;Simulation
2587,Rearrange-Array-to-Maximize-Prefix-Score,1336,Array;Greedy;Sorting;Prefix Sum
2506,Count-Pairs-Of-Similar-Strings,1335,Array;Hash Table;String;Bit Manipulation;Counting
938,Range-Sum-of-BST,1335,Tree;Depth-First Search;Binary Search Tree;Binary Tree
